key,data_source,species_reported,identifier,identification_type,identification_year,herbarium,herbarium_barcode,harbarium_voucher,field_plant_id,collection_year,collection_month,collection_day,collection_country,collection_stateProvince,collection_municipality,collection_locality,coord_longitude,coord_latitude,coord_source,reference,notes
LP2024_000025,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2013,UEC,138064,Meireles_LD_1407,NA,2003,04,20,Brazil,Minas_Gerais,Ouro_Branco,"""Serra do Ouro Branco""",-43.720139,-20.483389,locality_based,splink,NA
LP2024_000026,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2009,SPF,216354,Rando_JG_674,NA,2009,02,04,Brazil,Minas_Gerais,Congonhas_do_Norte,"""Serra Talhada (setor nordeste da Serra do Cipo), saindo da estrada Congonhas do Norte - Gouveia, ca. 3,7 km NW de Congonhas do Norte, perto da ponte sobre o rio Preto.""",-43.713241,-18.802322,estimated,splink,NA
LP2024_000027,literature,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2012,BHCB,133963,Carmo_FF_4916,NA,2009,07,25,Brazil,Minas_Gerais,Rio_Acima,"""Serra agua Limpa""",-43.701389,-20.104500,field_measured,Rando_2014,"""Identificacao correta na tese da Ju. No splink esta identificado como C. repens. """
LP2024_000028,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2013,UEC,129552,Yamamoto_K_C192,NA,2002,09,27,Brazil,Minas_Gerais,Santana_do_Riacho,"""Estrada para o Morro do Breu""",-43.698056,-19.112222,field_measured,splink,NA
LP2024_000029,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2009,ESA,81150,Souza_VC_26962,NA,2001,08,27,Brazil,Minas_Gerais,Caete,"""Serra da Piedade. Campo rupestre.""",-43.671607,-19.821207,estimated,splink,"""Estava na tabela de C. mucronata"""
LP2024_000030,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2013,UEC,125371,Kinoshita_LS_00279,NA,2000,11,23,Brazil,Minas_Gerais,Santana_do_Riacho,"""Serra do Cipo, Lapinha, Campo rupestre na estrada proxima a entrada da subida para o afloramento.""",-43.666667,-19.116667,field_measured,splink,NA
LP2024_000031,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2012,NY,00978956,Giulietti_AM_CFCR1767,NA,1981,08,30,Brazil,Minas_Gerais,Diamantina,"""Margem da estrada para Conselheiro Mata, 5 km de Diamantina""",-43.660405,-18.250277,estimated,splink,NA
LP2024_000032,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2013,UEC,130487,Kinoshita_LS_02226,NA,2002,09,24,Brazil,Minas_Gerais,Santana_do_Riacho,"""Lapinha, Pico do Breu, campo rupestre""",-43.652577,-19.106364,estimated,splink,NA
LP2024_000033,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist,2012,SPF,211402,Rando_JG_1143,NA,2012,01,12,Brazil,Minas_Gerais,Diamantina,"""Parque Estadual do Biribiri, Ca. 3 km de Diamantina, sentido Biribiri.""",-43.623222,-18.200444,field_measured,splink,NA
LP2024_000034,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SPF,197797,Rando_JG_508,NA,2008,01,08,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, Proximo ao segundo portao depois da sede do IBAMA.""",-43.622778,-19.349164,field_measured,splink,NA
LP2024_000035,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2009,ESA,ESA109004,Rando_JG_512,NA,2008,01,08,Brazil,Minas_Gerais,Jaboticatubas,"""proximo ao segundo portao, depois da sede do Ibama""",-43.622778,-19.349139,field_measured,reflora,NA
LP2024_000036,herbarium,Chamaecrista_arrojadoana,Cota_MMT,taxonomist,2016,UB,207843,Schliewe_MA_49,NA,2014,11,30,Brazil,Minas_Gerais,Santana_do_Riacho,"""Parque Nacional da Serra do Cipo, trilha do Capao""",-43.620145,-19.363914,estimated,splink,NA
LP2024_000037,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,HUEFS,186840,Rando_JG_1011,NA,2011,10,13,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo. Trilha para a lagoa Azul, proximo ao alojamento do IBAMA.""",-43.619403,-19.356698,estimated,splink,NA
LP2024_000038,field,Chamaecrista_arrojadoana,Rando_JG,taxonomist,2019,NA,NA,NA,PLACA_1585,2019,09,14,Brazil,Minas_Gerais,Santana_do_Riacho,"""Campo Rupestre proximo a parada do Mirante na MG 10""",-43.611419,-19.304239,field_measured,NA,NA
LP2024_000039,field,Chamaecrista_arrojadoana,Rando_JG,taxonomist,2019,NA,NA,NA,PLACA_1596,2019,09,14,Brazil,Minas_Gerais,Santana_do_Riacho,"""Campo Rupestre proximo a parada do Mirante na MG 11""",-43.611419,-19.303853,field_measured,NA,NA
LP2024_000040,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist,2018,HUFABC,001830,Prochazka_LS_18,NA,2018,12,11,Brazil,Minas_Gerais,Santana_do_Riacho,"""Serra do Cipo, Parada do Mirante, ao longo da MG 10.""",-43.610333,-19.304722,locality_based,splink,NA
LP2024_000041,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist,2018,HUFABC,001831,Prochazka_LS_19,NA,2018,12,11,Brazil,Minas_Gerais,Santana_do_Riacho,"""Serra do Cipo, Parada do Mirante, ao longo da MG 10.""",-43.610333,-19.304722,locality_based,splink,NA
LP2024_000042,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,HUEFS,44410,Costa_FN_82,NA,1999,09,24,Brazil,Minas_Gerais,Jaboticatubas,"""Parque Nacional da Serra do Cipo. Trilha sede do IBAMA-Canyon das Bandeirinhas.""",-43.608541,-19.359214,estimated,splink,NA
LP2024_000043,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist,2010,SPF,181864,El_Ottra_JHL_7,NA,2006,07,27,Brazil,Minas_Gerais,Santana_do_Riacho,"""Serra do Cipo, Trilha da cachoeira da Farofa.""",-43.607591,-19.361892,estimated,splink,"""Ponto realocado pq o ponto original nao correspondia com as notas de localidade"""
LP2024_000044,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,SPF,71683,Kameyama_C_CFSC11235,NA,1988,09,01,Brazil,Minas_Gerais,Santana_do_Riacho,"""Serra do Cipo, km 106-107 (antigo 112-113) da Rodovia Belo Horizonte - Conceicao do Mato Dentro. Proximo a entrada da Estrada da Usina.""",-43.601195,-19.291033,estimated,splink,NA
LP2024_000045,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2009,BHCB,136715,SavassiCoutinho_AP_927,NA,2006,01,11,Brazil,Minas_Gerais,Santana_do_Riacho,"""Serra do Cipo., Ca. 2Km acima da estrada da usina, na Estrada entre Belo Horizonte e Conceicao do Mato Dentro. Campo rupestre.""",-43.601151,-19.272689,estimated,splink,NA
LP2024_000046,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,MBM,162263,Sakuragui_CM_46,NA,1990,08,02,Brazil,Minas_Gerais,Santana_do_Riacho,"""Serra do Cipo, km 109""",-43.596739,-19.294645,estimated,splink,NA
LP2024_000047,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,184460,Forero_E_7752,NA,1980,09,06,Brazil,Minas_Gerais,Santana_do_Riacho,"""Serra do Cipo, km 109 (antigo 114) da estrada Lagoa Santa-Conceicao do Mato Dentro""",-43.596720,-19.295551,estimated,splink,NA
LP2024_000048,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2009,UEC,156240,Souza_VC_25025,NA,2001,07,04,Brazil,Minas_Gerais,Santana_do_Riacho,"""Serra do Cipo, Estrada entre a sede do IBAMA e a cachoeira da Farofa, ca. 5,5 Km da sede. Entre o Ribeirao Mascates e a cachoeira da Farofa. Campo arenoso com mata ciliar adjacente.""",-43.591476,-19.384333,estimated,splink,NA
LP2024_000049,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,166655,Menezes_NL_CFSC6363,NA,1980,07,22,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 111 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina, perto do Ribeirao Andrequece""",-43.590917,-19.278063,estimated,splink,NA
LP2024_000050,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,UEC,26642,Brantjes_NBM_705902,NA,1978,05,16,Brazil,Minas_Gerais,Jaboticatubas,"""Chapeu de Sol Serra do Cipo., Campo rupestre.""",-43.584045,-19.280185,estimated,splink,NA
LP2024_000051,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145265,Semir_J_CFSC703,NA,1972,02,07,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 112 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.580929,-19.281288,estimated,splink,NA
LP2024_000052,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145259,Joly_AB_CFSC3076,NA,1972,08,21,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina, Estrada da Usina, ca. 10km da entrada da estrada principal""",-43.577719,-19.231665,estimated,splink,NA
LP2024_000053,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145279,Joly_AB_CFSC3069,NA,1972,08,21,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina, Estrada da Usina, ca. 10km da entrada principal""",-43.577491,-19.229721,estimated,splink,NA
LP2024_000054,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145268,Semir_J_CFSC648,NA,1972,02,07,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 113 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.573857,-19.285412,estimated,splink,NA
LP2024_000055,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145272,Joly_AB_CFSC2875,NA,1972,08,29,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 114 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.568105,-19.291437,estimated,splink,NA
LP2024_000056,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145252,Joly_AB_CFSC2901,NA,1972,08,20,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 114 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.568105,-19.291437,estimated,splink,NA
LP2024_000057,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145287,Joly_AB_CFSC54,NA,1970,06,05,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 114 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.568105,-19.291437,estimated,splink,NA
LP2024_000058,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145284,Semir_J_CFSC2667,NA,1972,07,20,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 114 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.568105,-19.291437,estimated,splink,NA
LP2024_000059,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145286,Semir_J_CFSC2790,NA,1972,07,24,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 114 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.568105,-19.291437,estimated,splink,NA
LP2024_000060,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145289,Semir_J_CFSC676,NA,1972,02,07,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 114 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.568105,-19.291437,estimated,splink,NA
LP2024_000061,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145256,Semir_J_CFSC2664,NA,1972,07,20,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 114 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.568055,-19.290853,estimated,splink,NA
LP2024_000062,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2010,SPF,194039,Siniscalchi_CM_1,NA,2009,07,22,Brazil,Minas_Gerais,Santana_do_Riacho,"""Serra do Cipo, Antigo km 113 da rodovia que liga Belo Horizonte a Conceicao do Mato Dentro (MG 010). Em encosta proxima a rodovia.""",-43.566594,-19.288735,estimated,splink,NA
LP2024_000063,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,UEC,66021,Lucca_M_89,NA,1992,09,13,Brazil,Minas_Gerais,Santana_do_Riacho,"""pn Serra do Cipo, campo rupestre., Afloramento rochoso. Coletada na regiao de Congonhas, abaixo da Casa de Pedra e proximo ao corrego Gavioes.""",-43.557280,-19.333629,estimated,splink,NA
LP2024_000064,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145261,Joly_AB_CFSC117,NA,1970,06,06,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 116 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.555261,-19.288523,estimated,splink,NA
LP2024_000065,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145243,Semir_J_CFSC709,NA,1972,02,07,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 116 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.555261,-19.288523,estimated,splink,NA
LP2024_000066,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,RB,RB00142679,Maguire_B_49019,NA,1960,08,06,Brazil,Minas_Gerais,Santana_do_Riacho,"""SERRRA DI CIPo, KM 111-120, ROAD FROM HOTEL CHAPEU DO SOL,.""",-43.554713,-19.288298,estimated,reflora,NA
LP2024_000067,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145290,Joly_AB_CFSC3253,NA,1972,08,22,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 120 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.551555,-19.263610,estimated,splink,NA
LP2024_000068,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145288,Semir_J_CFSC2686,NA,1972,07,21,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 120 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.551555,-19.263610,estimated,splink,NA
LP2024_000069,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145278,Joly_AB_CFSC982,NA,1972,03,04,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 118 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.551092,-19.273510,estimated,splink,NA
LP2024_000070,herbarium,Chamaecrista_arrojadoana,Cota_MMT,taxonomist,2015,SPF,217138,Verdi_M_6471,NA,2013,10,14,Brazil,Minas_Gerais,Santana_do_Riacho,"""APA Morro da Pedreira, Coletado na trilha para a Pedra do Elefante, a partir do riacho da Pousada, caminho da Lua o comeco da encosta. """,-43.548947,-19.291661,estimated,splink,NA
LP2024_000071,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2009,UEC,31333,Furlan_A_CFSC7218,NA,1981,04,19,Brazil,Minas_Gerais,Santana_do_Riacho,"""km 117 ao longo da rodovia Belo Horizonte_Conceicao do Mato Dentro.&nf;Perto do Corrego Alto do Cupim""",-43.547835,-19.268448,estimated,splink,NA
LP2024_000072,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2008,SP,145282,Semir_J_CFSC2615,NA,1972,07,19,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, km 127 ao longo da rodovia Lagoa Santa-Conceicao do Mato Dentro-Diamantina""",-43.543752,-19.249798,estimated,splink,NA
LP2024_000073,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,SP,38051,Barreto_HLM_5973,NA,1933,08,23,Brazil,Minas_Gerais,Santa_Luzia,"""Serra do Cipo, Campo, km 127, Palacio""",-43.543452,-19.250454,estimated,splink,NA
LP2024_000074,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,RB,RB00143176,Duarte_AP_6421,NA,1961,10,25,Brazil,Minas_Gerais,Santana_do_Riacho,"""Serra do Cipo-Palacinho, antiga Km 134.""",-43.533372,-19.259704,estimated,reflora,NA
LP2024_000075,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2009,SPF,147297,Oliveira_JE_129,NA,1940,08,18,Brazil,Minas_Gerais,Jaboticatubas,"""Serra do Cipo, Km 131, Palacio.""",-43.532315,-19.259183,estimated,splink,NA
LP2024_000076,literature,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2012,SPF,NA,Rando_JG_606,NA,2008,10,28,Brazil,Minas_Gerais,Morro_do_Pilar,"""Ao lado da populacao de Vellozia gigantea""",-43.518333,-19.246667,field_measured,Rando_2014,"""Dado recuperado da tese da Ju. """
LP2024_000077,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,BHCB,199298,Rando_JG_602,NA,2008,10,28,Brazil,Minas_Gerais,Morro_do_Pilar,"""Serra do Cipo, Entrada da trilha para as Vellozia gigantea.""",-43.518222,-19.246667,locality_based,splink,NA
LP2024_000078,herbarium,Chamaecrista_arrojadoana,Cota_MMT,taxonomist,2015,SPF,217141,Verdi_M_6593,NA,2013,10,15,Brazil,Minas_Gerais,Morro_do_Pilar,"""Parque Nacional da Serra do Cipo, Alto Palacio; trilha para as Vellozia gigantea.""",-43.517985,-19.246439,field_measured,splink,NA
LP2024_000079,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2012,CEN,42608,Queiroz_LP_4388,NA,1995,07,10,Brazil,Bahia,Piata,"""9 km N de Catoles, caminho de Ribeirao de Baixo a Piata. Serra do Atalho, apice da serra.""",-41.937327,-13.087225,estimated,splink,NA
LP2024_000080,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,NY,777464,Ganev_W_1895,NA,1993,07,19,Brazil,Bahia,Rio_de_Contas,"""Guarda Mor, Capao de Quinca""",-41.862309,-13.323779,estimated,splink,"""Estava na tabela de C. mucronata, na tese da Ju, ID como C. papillata"""
LP2024_000081,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,SP,333012,Queiroz_LP_5032,NA,1998,04,20,Brazil,Bahia,Abaira,"""Distrito de Catoles, estrada para Serrinha e Bicota, campo rupestre""",-41.858373,-13.314157,estimated,splink,"""Estava na tabela de C. mucronata, na tese da Ju, ID como C. papillata"""
LP2024_000082,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,HUEFS,74402,Conceicao_AS_590,NA,2003,05,31,Brazil,Bahia,Abaira,"""Catoles, Serrinha.""",-41.851944,-13.319444,field_measured,splink,"""Estava na tabela de C. mucronata, na tese da Ju, ID como C. papillata"""
LP2024_000083,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2013,CEN,69494,Ganev_W_3429,NA,1994,07,23,Brazil,Bahia,Abaira,"""Caminho Boa Vista-Bicota.""",-41.839515,-13.326812,estimated,splink,NA
